9 9910 36146
0 0 0.511232 -0.39415
1 0 0.366571 -0.307547
0 1 0.5204 -0.383961
1 1 0.375332 -0.297358
0 2 0.353327 -0.365622
1 2 0.231079 -0.284113
0 3 0.324803 -0.338113
1 3 0.194404 -0.255585
0 4 0.363515 -0.317735
1 4 0.216816 -0.234189
0 5 0.530588 -0.303471
1 5 0.368608 -0.216868
0 6 0.385927 -0.297358
1 6 0.237191 -0.212793
0 7 0.416489 -0.297358
1 7 0.264697 -0.211774
0 8 0.381852 -0.294302
1 8 0.233116 -0.211774
0 9 0.354346 -0.276981
1 9 0.214779 -0.195472
0 10 -0.0745427 -0.271887
1 10 -0.183548 -0.19751
0 11 0.419545 -0.269849
1 11 0.268772 -0.186302
0 12 0.421583 -0.265773
1 12 0.269791 -0.183246
0 13 -0.0490742 -0.262717
1 13 -0.160117 -0.189359
0 14 -0.0612991 -0.257623
1 14 -0.170304 -0.184264
0 15 0.409358 -0.256604
1 15 0.260622 -0.175095
0 16 0.397133 -0.253547
1 16 0.250435 -0.172038
0 17 -0.289496 -0.252528
1 17 -0.394834 -0.178763
0 18 0.48067 -0.252528
1 18 0.323784 -0.168982
0 19 -0.330246 -0.25049
1 19 -0.438232 -0.176114
0 20 0.36759 -0.248453
1 20 0.227004 -0.168982
0 21 -0.346546 -0.247434
1 21 -0.453513 -0.173057
0 22 -0.0918612 -0.246415
1 22 -0.200866 -0.173057
0 23 -0.273197 -0.240302
1 23 -0.377719 -0.166536
0 24 -0.334321 -0.238264
1 24 -0.443326 -0.164906
0 25 -0.282365 -0.237245
1 25 -0.388314 -0.163887
0 26 -0.346546 -0.235208
1 26 -0.453513 -0.160831
0 27 -0.0959362 -0.235208
1 27 -0.204941 -0.162868
0 28 -0.0378681 -0.23317
1 28 -0.147892 -0.159812
0 29 -0.280328 -0.232151
1 29 -0.387295 -0.158793
0 30 -0.34349 -0.231132
1 30 -0.450457 -0.157774
0 31 -0.339415 -0.229094
1 31 -0.446382 -0.155736
0 32 -0.355714 -0.227057
1 32 -0.461663 -0.153699
0 33 -0.290515 -0.219925
1 33 -0.398501 -0.147585
0 34 -0.277272 -0.219925
1 34 -0.385258 -0.147585
0 35 -0.288478 -0.216868
1 35 -0.396464 -0.144529
0 36 -0.265047 -0.21483
1 36 -0.373033 -0.142491
0 37 -0.347564 -0.212793
1 37 -0.455551 -0.140453
0 38 -0.34349 -0.211774
1 38 -0.451476 -0.139435
0 39 0.346196 -0.207698
1 39 0.227004 -0.13434
0 40 0.342121 -0.205661
1 40 0.223948 -0.132303
0 41 0.526513 -0.201585
1 41 0.399171 -0.127208
0 42 -0.0256432 -0.200566
1 42 -0.134648 -0.129246
0 43 0.374721 -0.200566
1 43 0.253491 -0.127208
0 44 -0.000174789 -0.198529
1 44 -0.10918 -0.128227
0 45 -0.342471 -0.19751
1 45 -0.449438 -0.126189
0 46 -0.0205496 -0.19751
1 46 -0.129555 -0.127208
0 47 -0.0735239 -0.195472
1 47 -0.18151 -0.12517
0 48 0.00288143 -0.195472
1 48 -0.105105 -0.12517
0 49 -0.0531492 -0.194453
1 49 -0.160117 -0.12517
0 50 0.353327 -0.194453
1 50 0.231079 -0.121095
0 51 0.419545 -0.193434
1 51 0.289147 -0.118038
0 52 0.469463 -0.193434
1 52 0.33499 -0.116408
0 53 0.368608 -0.189359
1 53 0.248397 -0.116001
0 54 0.458257 -0.185283
1 54 0.31869 -0.108869
0 55 0.460295 -0.185283
1 55 0.322765 -0.109072
0 56 0.514288 -0.180189
1 56 0.390002 -0.106627
0 57 0.45622 -0.178151
1 57 0.316653 -0.101737
0 58 -0.00832469 -0.177132
1 58 -0.118348 -0.106831
0 59 0.409358 -0.174076
1 59 0.282016 -0.100718
0 60 0.447051 -0.168982
1 60 0.306465 -0.0925669
0 61 -0.0205496 -0.158793
1 61 -0.130573 -0.0895103
0 62 0.371665 -0.158793
1 62 0.255773 -0.0882877
0 63 -0.0164746 -0.155736
1 63 -0.126498 -0.0864537
0 64 0.333971 -0.154717
1 64 0.208667 -0.0823783
0 65 0.482707 -0.154717
1 65 0.344159 -0.0783028
0 66 -0.00424974 -0.153699
1 66 -0.116311 -0.084416
0 67 0.348234 -0.153699
1 67 0.222521 -0.0797292
0 68 0.332953 -0.15268
1 68 0.207648 -0.0803406
0 69 0.460295 -0.15268
1 69 0.319709 -0.077284
0 70 0.473538 -0.150642
1 70 0.331934 -0.0732085
0 71 -0.358771 -0.148604
1 71 -0.459626 -0.0813594
0 72 -0.355714 -0.148604
1 72 -0.456569 -0.0813594
0 73 0.441958 -0.145548
1 73 0.305447 -0.0701519
0 74 0.348234 -0.142491
1 74 0.223948 -0.0711708
0 75 0.353327 -0.142491
1 75 0.232301 -0.0723934
0 76 0.00593764 -0.139435
1 76 -0.104086 -0.0711708
0 77 -0.358771 -0.138416
1 77 -0.461663 -0.0721897
0 78 0.473538 -0.137397
1 78 0.33499 -0.0626123
0 79 -0.0174933 -0.133321
1 79 -0.127517 -0.0650576
0 80 0.349252 -0.133321
1 80 0.227004 -0.0630199
0 81 0.5204 -0.132303
1 81 0.380833 -0.0569067
0 82 -0.0837113 -0.131284
1 82 -0.19781 -0.0640388
0 83 0.349252 -0.130265
1 83 0.227004 -0.0589445
0 84 0.350271 -0.127208
1 84 0.229041 -0.0569067
0 85 0.436864 -0.12517
