15 6359 20466
0 0 0.524475 -0.30449
1 0 0.534663 -0.339131
0 1 -0.220222 -0.278
1 1 -0.190679 -0.323849
0 2 0.483726 -0.278
1 2 0.495951 -0.312641
0 3 -0.225316 -0.276981
1 3 -0.195773 -0.32283
0 4 0.477613 -0.273924
1 4 0.489838 -0.308566
0 5 -0.224297 -0.263736
1 5 -0.194754 -0.310603
0 6 0.451126 -0.260679
1 6 0.463351 -0.29532
0 7 -0.0164746 -0.251509
1 7 0.00797512 -0.283094
0 8 -0.0307369 -0.24234
1 8 -0.00628722 -0.275962
0 9 -0.177435 -0.239283
1 9 -0.149929 -0.285132
0 10 -0.18151 -0.236226
1 10 -0.154004 -0.282075
0 11 0.395096 -0.235208
1 11 0.408339 -0.270868
0 12 -0.0144371 -0.18834
1 12 0.00797512 -0.225019
0 13 0.0140875 -0.174076
1 13 0.035481 -0.210755
0 14 -0.00221227 -0.165925
1 14 0.0191812 -0.203623
0 15 -0.0847301 -0.162868
1 15 -0.0623178 -0.207698
0 16 -0.118348 -0.160831
1 16 -0.0949174 -0.208717
0 17 -0.0643553 -0.153699
1 17 -0.0419431 -0.196491
0 18 -0.0735239 -0.116001
1 18 -0.0521304 -0.162868
0 19 0.0701181 -0.112944
1 19 0.0843805 -0.162868
0 20 -0.022587 -0.110906
1 20 -0.00221227 -0.153699
0 21 0.14958 -0.108869
1 21 0.166287 -0.143306
0 22 0.320728 -0.103774
1 22 0.337028 -0.135359
0 23 -0.0582429 -0.0986801
1 23 -0.0378681 -0.145548
0 24 0.0752118 -0.0986801
1 24 0.0894742 -0.146567
0 25 -0.0572241 -0.0966423
1 25 -0.0368494 -0.14351
0 26 0.148561 -0.091548
1 26 0.16588 -0.126189
0 27 -0.00832469 -0.0895103
1 27 0.0110313 -0.133321
0 28 0.0915116 -0.0864537
1 28 0.107811 -0.127208
0 29 -0.00119353 -0.077284
1 29 0.0171438 -0.121095
0 30 -0.167248 -0.0762651
1 30 -0.141779 -0.119057
0 31 -0.0368494 -0.0752462
1 31 -0.0185121 -0.123133
0 32 0.00186269 -0.0742274
1 32 0.0202 -0.118038
0 33 0.148561 -0.0721897
1 33 0.166287 -0.106627
0 34 -0.142798 -0.0711708
1 34 -0.118348 -0.112944
0 35 0.035481 -0.0691331
1 35 0.0517809 -0.112944
0 36 0.278959 -0.0670954
1 36 0.294648 -0.0980687
0 37 -0.217166 -0.0650576
1 37 -0.18966 -0.10785
0 38 0.30239 -0.0630199
1 38 0.317672 -0.0946046
0 39 0.306465 -0.0599633
1 39 0.321746 -0.091548
0 40 0.303409 -0.0579256
1 40 0.319709 -0.0905292
0 41 0.313597 -0.0538501
1 41 0.328878 -0.0864537
0 42 0.306465 -0.0507936
1 42 0.321543 -0.0846198
0 43 0.296278 -0.0487558
1 43 0.311559 -0.0793217
0 44 0.314615 -0.0487558
1 44 0.329896 -0.0813594
0 45 -0.0735239 -0.0456993
1 45 -0.0511117 -0.0864537
0 46 0.290166 -0.0446804
1 46 0.304428 -0.0762651
0 47 -0.0704677 -0.0436615
1 47 -0.0490742 -0.084416
0 48 -0.116311 -0.0375484
1 48 -0.09288 -0.0813594
0 49 -0.124461 -0.0344918
1 49 -0.10103 -0.077284
0 50 0.325821 -0.0283786
1 50 0.340084 -0.0640388
