15 6367 27941
0 0 -0.0317557 -0.400263
1 0 0.000843949 -0.414527
0 1 0.143467 -0.399244
1 1 0.166898 -0.417584
0 2 0.145505 -0.385999
1 2 0.169954 -0.410452
0 3 -0.340433 -0.369697
1 3 -0.300703 -0.413508
0 4 -0.427026 -0.365622
1 4 -0.380164 -0.392112
0 5 -0.321077 -0.361546
1 5 -0.282365 -0.404339
0 6 0.255528 -0.361546
1 6 0.275903 -0.385999
0 7 -0.318021 -0.360528
1 7 -0.279309 -0.40332
0 8 -0.152986 -0.360528
1 8 -0.118348 -0.383961
0 9 -0.152986 -0.357471
1 9 -0.118348 -0.380905
0 10 -0.149929 -0.357471
1 10 -0.115292 -0.379886
0 11 -0.146873 -0.356452
1 11 -0.112236 -0.379886
0 12 -0.31089 -0.355433
1 12 -0.27014 -0.396188
0 13 -0.142798 -0.355433
1 13 -0.107142 -0.377848
0 14 0.249416 -0.355433
1 14 0.269791 -0.381924
0 15 -0.32719 -0.353396
1 15 -0.289496 -0.398225
0 16 -0.12548 -0.336075
1 16 -0.0938987 -0.362565
0 17 0.306465 -0.333018
1 17 0.33499 -0.341169
0 18 -0.285421 -0.331999
1 18 -0.249766 -0.37581
0 19 -0.282365 -0.330981
1 19 -0.246709 -0.374792
0 20 -0.281347 -0.327924
1 20 -0.245691 -0.371735
0 21 -0.0938987 -0.326905
1 21 -0.0643553 -0.353396
0 22 0.224966 -0.325886
1 22 0.249416 -0.360528
0 23 -0.28644 -0.323849
1 23 -0.256897 -0.366641
0 24 -0.320059 -0.321811
1 24 -0.27829 -0.345245
0 25 -0.288478 -0.320792
1 25 -0.254859 -0.363584
0 26 -0.264028 -0.315698
1 26 -0.23041 -0.359509
0 27 -0.260972 -0.31366
1 27 -0.227353 -0.35849
0 28 -0.105105 -0.31366
1 28 -0.0775989 -0.344226
0 29 -0.281347 -0.309584
1 29 -0.240597 -0.350339
0 30 -0.09288 -0.308566
1 30 -0.065374 -0.337094
0 31 -0.0704677 -0.303471
1 31 -0.0429618 -0.331999
0 32 -0.0674115 -0.303471
1 32 -0.0399056 -0.331999
0 33 0.208667 -0.303471
1 33 0.235154 -0.342188
0 34 0.224966 -0.303471
1 34 0.24636 -0.338113
0 35 -0.273197 -0.301434
1 35 -0.239578 -0.347282
0 36 0.267753 -0.299396
1 36 0.275903 -0.320792
0 37 -0.243653 -0.298377
1 37 -0.211054 -0.342188
0 38 -0.0765801 -0.298377
1 38 -0.0470367 -0.327924
0 39 -0.240597 -0.297358
1 39 -0.207997 -0.342188
0 40 0.0324248 -0.29532
1 40 0.0609495 -0.309584
0 41 -0.23856 -0.294302
1 41 -0.20596 -0.336075
0 42 -0.0826926 -0.292264
1 42 -0.0541679 -0.32283
0 43 -0.0572241 -0.291245
1 43 -0.0297182 -0.320792
0 44 -0.0541679 -0.290226
1 44 -0.026662 -0.318754
0 45 -0.0521304 -0.28717
1 45 -0.0256432 -0.315698
0 46 0.214779 -0.286151
1 46 0.237191 -0.323849
