13 2321 12010
0 0 -0.0267517 -0.249251
1 0 -0.0146866 -0.238998
0 1 -0.0323634 -0.238717
1 1 -0.0197371 -0.228183
0 2 -0.0106181 -0.123547
1 2 0.00341109 -0.114418
0 3 -0.022543 -0.077901
1 3 -0.00781228 -0.0701762
0 4 -0.0106181 -0.0771987
1 4 0.00411255 -0.0687717
0 5 0.00551547 -0.0764965
1 5 0.0195447 -0.0680694
0 6 -0.0449897 -0.0715807
1 6 -0.030259 -0.0638559
0 7 -0.000797674 -0.0701762
1 7 0.0132315 -0.0617491
0 8 0.0118286 -0.0694739
1 8 0.0258578 -0.0610469
0 9 -0.00360352 -0.0687717
1 9 0.0104257 -0.0610469
0 10 0.0202461 -0.0680694
1 10 0.0335739 -0.0603446
0 11 0.0335739 -0.0673672
1 11 0.0447973 -0.0596424
0 12 0.0237534 -0.0666649
1 12 0.0370812 -0.0589401
0 13 -0.0288561 -0.0659627
1 13 -0.0141254 -0.0575356
0 14 -0.0323634 -0.0631536
1 14 -0.0183342 -0.0547266
0 15 -0.0463926 -0.0624514
1 15 -0.0332051 -0.053603
0 16 -0.0351692 -0.0624514
1 16 -0.0204386 -0.0540243
0 17 -0.000797674 -0.0624514
1 17 0.013933 -0.0547266
0 18 -0.0407809 -0.0617491
1 18 -0.0267517 -0.0540243
0 19 -0.0260503 -0.0617491
1 19 -0.0106181 -0.0533221
0 20 -0.0169313 -0.0617491
1 20 -0.00149913 -0.0533221
0 21 -0.00290206 -0.0610469
1 21 0.0118286 -0.0533221
0 22 -0.0442882 -0.0603446
1 22 -0.0298381 -0.0527603
0 23 -0.000797674 -0.0603446
1 23 0.013933 -0.0526198
0 24 -0.0239459 -0.0589401
1 24 -0.0092152 -0.0498108
0 25 0.00200817 -0.0589401
1 25 0.0167388 -0.0512153
0 26 -0.0491985 -0.0582379
1 26 -0.0365722 -0.0505131
0 27 -0.0295576 -0.0582379
1 27 -0.0141254 -0.0491086
0 28 -0.0267517 -0.0582379
1 28 -0.012021 -0.0505131
0 29 0.000605247 -0.0575356
1 29 0.0153359 -0.0498108
0 30 -0.0274532 -0.0554288
1 30 -0.0127225 -0.0477041
0 31 -0.0183342 -0.0526198
1 31 -0.00290206 -0.0441928
0 32 -0.0183342 -0.0505131
1 32 -0.00290206 -0.0427883
0 33 -0.00711082 -0.0357657
1 33 0.00832131 -0.028041
0 34 -0.0190356 -0.0343612
1 34 -0.00360352 -0.0266364
0 35 -0.012021 -0.0343612
1 35 0.00411255 -0.0266364
0 36 -0.00781228 -0.0322545
1 36 0.00832131 -0.0252319
0 37 -0.00991666 -0.03085
1 37 0.00551547 -0.0231252
0 38 0.0370812 -0.0231252
1 38 0.0518119 -0.0156813
0 39 -0.0204386 -0.00697334
1 39 -0.00430498 0.000751451
0 40 -0.0169313 -0.00697334
1 40 -0.000797674 4.91974e-05
0 41 -0.0169313 -0.00486658
1 41 0.00130671 0.00215596
0 42 -0.0141254 -0.00486658
1 42 0.00299023 0.00201552
0 43 -0.0632277 0.0183078
1 43 -0.0449897 0.0256113
0 44 -0.0954948 0.0211168
1 44 -0.0772569 0.0288416
0 45 -0.0961963 0.0232236
1 45 -0.0772569 0.0309484
0 46 -0.0555116 0.0253303
1 46 -0.0365722 0.0323529
0 47 -0.0863759 0.0274371
1 47 -0.066735 0.0344596
0 48 -0.0590189 0.0288416
1 48 -0.039378 0.0358641
0 49 -0.0779583 0.0330551
1 49 -0.057616 0.0407799
0 50 -0.0590189 0.0337574
1 50 -0.039378 0.0407799
0 51 -0.0779583 0.0351619
1 51 -0.057616 0.0428867
0 52 -0.109524 0.0358641
1 52 -0.0912861 0.0433081
0 53 -0.0947934 0.0358641
1 53 -0.0751525 0.0428867
0 54 -0.0779583 0.0365664
1 54 -0.0583174 0.0442912
0 55 -0.0414824 0.0372686
1 55 -0.0232444 0.0442912
0 56 -0.0800627 0.0400777
1 56 -0.0597204 0.0471002
0 57 -0.0541087 0.0400777
1 57 -0.0344678 0.0471002
0 58 -0.0414824 0.0400777
1 58 -0.0232444 0.0478025
0 59 -0.0912861 0.0435889
1 59 -0.0709437 0.0506115
0 60 -0.106718 0.0499092
1 60 -0.0870773 0.057634
0 61 -0.104614 0.0527182
1 61 -0.0853938 0.0601621
0 62 -0.10742 0.0534205
1 62 -0.0887608 0.0601621
0 63 0.0356783 0.0541227
1 63 0.049006 0.0597408
0 64 -0.101808 0.054825
1 64 -0.0814656 0.0618475
0 65 -0.0625262 0.0562295
1 65 -0.0421838 0.063252
0 66 -0.0604218 0.0562295
1 66 -0.0407809 0.0639543
0 67 -0.0674364 0.0569317
1 67 -0.0477955 0.0646565
0 68 -0.0309605 0.0569317
1 68 -0.0148269 0.0625498
0 69 -0.0968978 0.0611453
1 69 -0.0772569 0.0681678
0 70 -0.0968978 0.0625498
1 70 -0.0772569 0.0695723
0 71 -0.110927 0.063252
1 71 -0.0919875 0.0709768
0 72 -0.0709437 0.063252
1 72 -0.0506014 0.0702746
0 73 -0.0506014 0.063252
1 73 -0.0316619 0.0702746
0 74 -0.0968978 0.0639543
1 74 -0.0772569 0.0709768
0 75 -0.0520043 0.0653588
1 75 -0.0323634 0.0723813
0 76 -0.111628 0.066061
1 76 -0.0929696 0.0728027
0 77 -0.0856744 0.066061
1 77 -0.0646306 0.0737858
0 78 0.0216491 0.0667633
1 78 0.0363797 0.0723813
0 79 -0.0877788 0.0688701
1 79 -0.0674364 0.0758926
0 80 -0.0842715 0.0688701
1 80 -0.0639291 0.0758926
0 81 -0.0253488 0.0688701
1 81 -0.0106181 0.0751903
0 82 -0.0933905 0.0702746
1 82 -0.0730481 0.0779994
0 83 -0.0723467 0.0709768
1 83 -0.0520043 0.0779994
0 84 -0.0562131 0.0716791
1 84 -0.0390974 0.0787016
0 85 -0.092689 0.0730836
1 85 -0.0730481 0.0801061
0 86 -0.0127225 0.0772971
1 86 0.00270963 0.0829151
0 87 0.067244 0.0983647
1 87 0.0791688 0.10328
0 88 0.0104257 0.101876
1 88 0.0258578 0.107494
0 89 0.0167388 0.105387
1 89 0.0314695 0.111005
0 90 -0.0337663 0.108196
1 90 -0.0190356 0.113814
0 91 0.0167388 0.108196
1 91 0.0314695 0.113814
0 92 -0.0709437 0.115219
1 92 -0.0541087 0.121539
0 93 -0.0274532 0.120135
1 93 -0.012021 0.125753
0 94 0.0202461 0.122944
1 94 0.0356783 0.127859
0 95 0.0174403 0.12505
1 95 0.0328724 0.129264
0 96 -0.0632277 0.125753
1 96 -0.0463926 0.132073
0 97 0.0181418 0.127157
1 97 0.0335739 0.131371
0 98 0.0202461 0.127157
1 98 0.0349768 0.132775
0 99 0.0153359 0.128562
1 99 0.0307681 0.13418
0 100 0.0546177 0.129264
1 100 0.067244 0.13418
0 101 0.0181418 0.130668
1 101 0.0328724 0.136286
0 102 0.0693484 0.130668
1 102 0.0812732 0.134882
0 103 -0.0709437 0.136286
1 103 -0.0550907 0.142747
0 104 0.0181418 0.143309
1 104 0.0335739 0.148225
0 105 0.0167388 0.144713
1 105 0.032171 0.149629
0 106 -0.0204386 0.14682
1 106 -0.00500644 0.151736
0 107 0.0686469 0.155247
1 107 0.0804315 0.158759
0 108 0.0707513 0.157354
1 108 0.0826761 0.161568
0 109 0.0861834 0.157354
1 109 0.0974068 0.161568
0 110 0.0693484 0.158759
1 110 0.0812732 0.162972
0 111 -0.0386765 0.159461
1 111 -0.0232444 0.165079
0 112 0.0679455 0.163674
1 112 0.0805717 0.166483
0 113 -0.0407809 0.164377
1 113 -0.0260503 0.16859
0 114 -0.0421838 0.166483
1 114 -0.0274532 0.172101
0 115 0.067244 0.167888
1 115 0.0798703 0.172101
0 116 0.0686469 0.173506
1 116 0.0812732 0.177719
0 117 0.0693484 0.182635
1 117 0.0812732 0.186146
0 118 0.0728557 0.186146
1 118 0.0840791 0.188955
0 119 0.0777659 0.207214
1 119 0.0889893 0.210725
0 120 0.0777659 0.210023
1 120 0.0889893 0.212832
0 121 0.0714528 0.211428
1 121 0.0833776 0.214237
0 122 -0.0597204 0.214939
1 122 -0.0470941 0.219152
0 123 -0.057616 0.214939
1 123 -0.0441479 0.219433
0 124 0.058125 0.217046
1 124 0.0707513 0.220557
0 125 0.0405885 0.221961
1 125 0.0539162 0.225473
0 126 -0.0372736 0.223366
1 126 -0.0232444 0.227579
0 127 0.0244549 0.224068
1 127 0.0384841 0.227579
0 128 0.0265593 0.22477
1 128 0.0405885 0.228282
0 129 -0.0169313 0.225473
1 129 -0.0022006 0.229686
0 130 -0.0218415 0.226175
1 130 -0.00781228 0.230388
0 131 -0.0141254 0.226175
1 131 0.000605247 0.230388
0 132 0.0146345 0.226175
1 132 0.0293651 0.229686
0 133 0.0167388 0.226175
1 133 0.0314695 0.229686
0 134 -0.0197371 -0.222987
1 134 -0.00626906 -0.212874
0 135 -0.0289964 -0.206975
1 135 -0.0163701 -0.196863
0 136 -0.00626906 -0.0788841
1 136 0.00804075 -0.0704571
0 137 0.0147748 -0.076356
1 137 0.0282428 -0.0687717
0 138 -0.000376772 -0.0704571
1 138 0.013933 -0.06203
0 139 0.0265593 -0.0670862
1 139 0.0391856 -0.0589401
0 140 0.0290846 -0.0670862
1 140 0.04129 -0.0596424
0 141 -0.000376772 -0.0628727
1 141 0.0130913 -0.0544457
0 142 -0.0357304 -0.06203
1 142 -0.0205788 -0.0544457
0 143 -0.0264711 -0.0611873
1 143 -0.0113195 -0.053603
0 144 -0.000376772 -0.0603446
1 144 0.013933 -0.0519176
0 145 -0.0289964 -0.0595019
1 145 -0.0138448 -0.0510749
0 146 0.00130675 -0.0595019
1 146 0.0164583 -0.0510749
0 147 -0.0500402 -0.0586592
1 147 -0.0365722 -0.0502322
0 148 -0.0273129 -0.0586592
1 148 -0.0113195 -0.0502322
0 149 0.000464989 -0.0578165
1 149 0.0147748 -0.0502322
0 150 -0.0273129 -0.0561311
1 150 -0.0121613 -0.047704
0 151 -0.0180536 -0.0527603
1 151 -0.00290201 -0.0443332
0 152 0.0181418 -0.0418051
1 152 0.0324516 -0.0342208
0 153 -0.0188953 -0.0342208
1 153 -0.00374377 -0.0266364
0 154 -0.00121853 -0.0316927
1 154 0.0147748 -0.0241083
0 155 -0.0113195 -0.0308499
1 155 0.00551551 -0.0232656
0 156 -0.00458554 -0.00725424
1 156 0.0114078 0.000330116
0 157 -0.0214206 -0.00641152
1 157 -0.00458554 0.000330116
0 158 -0.00795254 -0.00641152
1 158 0.00804075 0.00117281
0 159 -0.0163701 -0.00472612
1 159 -9.62136e-05 0.00285821
0 160 -0.00458554 -0.00472612
1 160 0.0114078 0.00285823
0 161 -0.0795015 0.0146561
1 161 -0.0626665 0.0222404
0 162 -0.081185 0.0180269
1 162 -0.0630032 0.0262854
0 163 -0.0786598 0.0213977
1 163 -0.0601412 0.0289821
0 164 -0.0550907 0.0256113
1 164 -0.0351692 0.0323529
0 165 -0.0862356 0.0272967
1 165 -0.0660335 0.0343754
0 166 -0.0837103 0.0272967
1 166 -0.0635082 0.034881
0 167 -0.0803433 0.0289821
